total_area,mean_deltaT,morris_row_index,identifier,Class
6683.879169631756,3.491602794973333,174,21,T
1906.9746100335585,1.639322980917402,174,22,T
5504.842100566944,3.403486497091937,174,23,T
0,0,174,24,T
30.944865578415406,1.9832458038216563,175,19,NT
0,0,175,20,T
2262.9839762062675,1.751079280001664,175,21,T
0,0,175,22,T
578.0006223759494,1.8347760651893767,175,23,T
0,0,175,24,T
4.21269402694201,3.494603640534567,176,19,NT
0,0,176,20,T
539.6618977409107,5.513497758244851,176,21,T
0,0,176,22,T
0,0,176,23,T
0,0,176,24,T
82.30540153504151,1.2282349515343158,177,19,NT
81.78003194711394,1.1568048128086355,177,20,T
3620.041741726914,1.8503525483020786,177,21,T
0,0,177,22,T
3850.6412751191524,4.13592533213582,177,23,T
3595.7997818361932,1.1168171410146133,177,24,T
82.30540153504151,1.2282349515343158,178,19,NT
81.78003194711394,1.1568048128086355,178,20,T
3121.0175989677946,1.920220318182176,178,21,T
0,0,178,22,T
3850.641275178133,4.13592533213582,178,23,T
3595.7997818353815,1.1168171410146133,178,24,T
5.114866630960528,3.230073543628688,179,19,NT
0,0,179,20,T
860.3610500449398,3.04386894921678,179,21,T
0,0,179,22,T
3722.3124899551813,4.151321573566729,179,23,T
0,0,179,24,T
531.9426789871513,0.641742737588302,18,19,NT
187.61122736530768,0.931259821335193,18,20,T
7851.468528434943,3.2633756929809397,18,21,T
5277.906437474572,1.1390925986267082,18,22,T
11936.163725214103,0.518225345412045,18,23,T
6126.316389635109,0.759125571159533,18,24,T
5.286541913526939,3.322351440974646,180,19,NT
0,0,180,20,T
4922.324331695916,3.591520147990873,180,21,T
0,0,180,22,T
0,0,180,23,T
0,0,180,24,T
6.060188956385147,3.024119567885691,181,19,NT
0,0,181,20,T
6008.315846531945,3.610354726029407,181,21,T
0,0,181,22,T
5361.0877761735765,3.4075390019313256,181,23,T
0,0,181,24,T
531.9426789906528,0.6417427375873146,182,19,NT
187.61122736477787,0.931259821335193,182,20,T
7851.468528429331,3.2633756929846536,182,21,T
5795.709128547004,1.1509767512575193,182,22,T
11936.163725211738,0.518225345412045,182,23,T
6126.316389624469,0.759125571159533,182,24,T
531.9426789871513,0.641742737588302,183,19,NT
187.61122736530768,0.931259821335193,183,20,T
7851.468528434943,3.2633756929809397,183,21,T
5277.906437474572,1.1390925986267082,183,22,T
11936.163725214103,0.518225345412045,183,23,T
6126.316389635109,0.759125571159533,183,24,T
3385.5678045954996,0.570641283748891,184,19,NT
178.63459019202367,0.747844726657945,184,20,T
4342.937819598597,1.3008054888178693,184,21,T
3119.339552256259,0.7744693296487715,184,22,T
2260.961622053509,0.9670454668730623,184,23,T
6126.31638963436,0.759125571159533,184,24,T
6.661883638454555,3.235282119713634,185,19,NT
0,0,185,20,T
840.065111180667,5.814930673172878,185,21,T
0,0,185,22,T
90.50488195019608,2.0185996942894584,185,23,T
0,0,185,24,T
6.060188956385147,3.024119567885691,186,19,NT
0,0,186,20,T
6008.315846531945,3.610354726029407,186,21,T
0,0,186,22,T
5361.0877761735765,3.4075390019313256,186,23,T
0,0,186,24,T
