total_area,morris_row_index,identifier,Class
289.64801802527563,199,15,NT
0,199,16,NT
38.6004081897362,199,17,NT
0,2,13,NT
926.0313985675741,2,14,T
620.1018942210537,2,15,NT
0,2,16,NT
87.97182508981842,2,17,NT
0,20,13,NT
1862.3448805913283,20,14,T
1941.60740095228,20,15,NT
2032.2858933847733,20,16,NT
185.88149356895008,20,17,NT
0,200,13,NT
618.3547177611094,200,14,T
308.5497800205526,200,15,NT
0,200,16,NT
45.5631977785074,200,17,NT
0,201,13,NT
819.8134191996983,201,14,T
642.6515147718607,201,15,NT
0,201,16,NT
87.97182508592118,201,17,NT
0,202,13,NT
819.8134191996983,202,14,T
642.6515147718607,202,15,NT
0,202,16,NT
87.97182508592118,202,17,NT
0,203,13,NT
564.5100280550009,203,14,T
205.91386910362468,203,15,NT
0,203,16,NT
12.438586645020456,203,17,NT
0,204,13,NT
551.08201415976,204,14,T
223.20001553984963,204,15,NT
0,204,16,NT
23.177323406875818,204,17,NT
0,205,13,NT
218.0677484123972,205,14,T
223.2000155404425,205,15,NT
0,205,16,NT
12.438586645951778,205,17,NT
0,206,13,NT
218.0677484123972,206,14,T
223.2000155404425,206,15,NT
0,206,16,NT
12.438586645951778,206,17,NT
0,207,13,NT
1038.7847574969874,207,14,T
678.797260548138,207,15,NT
0,207,16,NT
96.0150477145724,207,17,NT
0,208,13,NT
1235.4412508921605,208,14,T
620.1018942173284,208,15,NT
0,208,16,NT
87.97182508981842,208,17,NT
0,209,13,NT
303.49150130851996,209,14,T
308.5497800205526,209,15,NT
0,209,16,NT
33.83120228235434,209,17,NT
0,21,13,NT
4141.169971610353,21,14,T
1125.3954700951556,21,15,NT
357.2282378186611,21,16,NT
143.5605752644543,21,17,NT
0,210,13,NT
661.7122145392576,210,14,T
269.7499678195488,210,15,NT
0,210,16,NT
38.6004081897362,210,17,NT
0,211,13,NT
661.7122145392576,211,14,T
269.7499678195488,211,15,NT
0,211,16,NT
38.6004081897362,211,17,NT
0,212,13,NT
1254.6016336944097,212,14,T
898.3177916595293,212,15,NT
357.22823781699606,212,16,NT
132.45200603528613,212,17,NT
0,213,13,NT
203.92752972421374,213,14,T
193.39541399873727,213,15,NT
0,213,16,NT
12.438586645951778,213,17,NT
0,214,13,NT
198.20776150403333,214,14,T
193.3954140005999,214,15,NT
0,214,16,NT
12.438586645951778,214,17,NT
0,215,13,NT
926.0313985675741,215,14,T
620.1018942210537,215,15,NT
0,215,16,NT
87.97182508981842,215,17,NT
0,216,13,NT
1038.7847574965606,216,14,T
678.7972605481451,216,15,NT
0,216,16,NT
96.0150477145724,216,17,NT
0,217,13,NT
618.3547177611094,217,14,T
308.5497800205526,217,15,NT
0,217,16,NT
45.5631977785074,217,17,NT
0,218,13,NT
1055.5593507088074,218,14,T
1125.3954700948843,218,15,NT
357.22823781721735,218,16,NT
153.96397894785852,218,17,NT
0,219,13,NT
1055.5593507088074,219,14,T
