total_area,total_averaged_temperature,morris_row_index,location
3850.641275178133,19.678470611572266,67,limpbach
3121.0175989677946,16.729637016612216,67,grundbach
249.59991014345132,18.249923867839698,67,hasle
1250.075999438322,20.338798108513252,67,emmepark
3850.6412751191524,19.678470611572266,68,limpbach
3620.041741726914,16.62149020836598,68,grundbach
249.59991014148724,18.24992386783277,68,hasle
1250.0759994393932,20.338798108514045,68,emmepark
672.0937841096811,17.76752281188965,69,limpbach
7032.585874695157,16.830186712785085,69,grundbach
249.59991014065736,18.249923867831665,69,hasle
1330.0784019040166,20.442045056699587,69,emmepark
5559.146718343069,19.639619827270508,7,limpbach
7250.119787609978,16.893737336248037,7,grundbach
249.59991014190433,18.24992386783302,7,hasle
1260.2193453908865,20.38087743727968,7,emmepark
3850.641275178133,19.678470611572266,70,limpbach
3121.0175989677946,16.729637016612216,70,grundbach
249.59991014345132,18.249923867839698,70,hasle
1250.075999438322,20.338798108513252,70,emmepark
672.0937841096811,17.76752281188965,71,limpbach
7032.585874695157,16.830186712785085,71,grundbach
249.59991014065736,18.249923867831665,71,hasle
1330.0784019040166,20.442045056699587,71,emmepark
672.0937841096811,17.76752281188965,72,limpbach
7032.585874695157,16.830186712785085,72,grundbach
249.59991014065736,18.249923867831665,72,hasle
1330.0784019040166,20.442045056699587,72,emmepark
684.6820667712211,17.784666061401367,73,limpbach
4568.717401208703,16.530666929009882,73,grundbach
249.59991014266103,18.24992386783862,73,hasle
1140.5117458324296,20.185664302836255,73,emmepark
684.6820667717211,17.784666061401367,74,limpbach
4343.1567026398625,16.52200026719724,74,grundbach
249.59991014252,18.249923867838532,74,hasle
1140.511745832241,20.1856643028362,74,emmepark
5575.470648651888,19.647262573242188,75,limpbach
5415.305365399561,16.416750617418145,75,grundbach
249.59991014065736,18.249923867831665,75,hasle
1101.492787373973,20.127795576843962,75,emmepark
5559.146718344169,19.639619827270508,76,limpbach
7250.1197876127135,16.89373733624834,76,grundbach
249.59991014283565,18.249923867838728,76,hasle
1251.4570727203743,20.377251751363744,76,emmepark
672.0937841103427,17.76752281188965,77,limpbach
2912.8684718838745,16.04998338785827,77,grundbach
249.59991014190433,18.24992386783302,77,hasle
1359.0827280061353,20.488003505677458,77,emmepark
658.2155355011722,17.749969482421875,78,limpbach
3075.11889653947,16.073237880461928,78,grundbach
249.59991014266103,18.24992386783862,78,hasle
1359.0827280063402,20.48800350567752,78,emmepark
5559.146718313266,19.639619827270508,79,limpbach
7250.119787609978,16.893737336248037,79,grundbach
249.59991014024027,18.249923867831416,79,hasle
1260.2193453868604,20.380877437275114,79,emmepark
672.0937841103427,17.76752281188965,8,limpbach
2912.8684718838745,16.04998338785827,8,grundbach
249.59991014190433,18.24992386783302,8,hasle
1359.0827280061353,20.488003505677458,8,emmepark
5559.146718344169,19.639619827270508,80,limpbach
7250.1197876127135,16.89373733624834,80,grundbach
249.59991014283565,18.249923867838728,80,hasle
1251.4570727203743,20.377251751363744,80,emmepark
672.0937841096811,17.76752281188965,81,limpbach
2912.868471876387,16.04998338785768,81,grundbach
249.59991014065736,18.249923867831665,81,hasle
1359.0827280061353,20.488003505677458,81,emmepark
5575.470648651888,19.647262573242188,82,limpbach
5415.305365399561,16.416750617418145,82,grundbach
249.59991014065736,18.249923867831665,82,hasle
1101.492787373973,20.127795576843962,82,emmepark
684.6820667717211,17.784666061401367,83,limpbach
4343.1567026398625,16.52200026719724,83,grundbach
249.59991014252,18.249923867838532,83,hasle
1140.5117458324296,20.185664302836255,83,emmepark
684.6820667712211,17.784666061401367,84,limpbach
