"x","y","flag"
2609662.22713655,1225765.92629007,1
2609662.43441655,1225765.92629007,1
2609662.64169655,1225765.92629007,1
2609662.84897655,1225765.92629007,1
2609660.98345655,1225765.71901007,1
2609661.19073655,1225765.71901007,1
2609661.39801655,1225765.71901007,1
2609661.60529655,1225765.71901007,1
2609661.81257655,1225765.71901007,1
2609662.01985655,1225765.71901007,1
2609662.22713655,1225765.71901007,1
2609662.43441655,1225765.71901007,1
2609662.64169655,1225765.71901007,1
2609660.36161655,1225765.51173007,1
2609660.56889655,1225765.51173007,1
2609660.77617655,1225765.51173007,1
2609660.98345655,1225765.51173007,1
2609661.19073655,1225765.51173007,1
2609661.39801655,1225765.51173007,1
2609661.60529655,1225765.51173007,1
2609661.81257655,1225765.51173007,1
2609662.01985655,1225765.51173007,1
2609662.22713655,1225765.51173007,1
2609662.43441655,1225765.51173007,1
2609660.15433655,1225765.30445007,1
2609660.36161655,1225765.30445007,1
2609660.56889655,1225765.30445007,1
2609660.77617655,1225765.30445007,1
2609660.98345655,1225765.30445007,1
2609661.19073655,1225765.30445007,1
2609661.39801655,1225765.30445007,1
2609661.60529655,1225765.30445007,1
2609661.81257655,1225765.30445007,1
2609662.01985655,1225765.30445007,1
2609662.22713655,1225765.30445007,1
2609662.43441655,1225765.30445007,1
2609659.73977656,1225765.09717007,1
2609659.94705656,1225765.09717007,1
2609660.15433655,1225765.09717007,1
2609660.36161655,1225765.09717007,1
2609660.56889655,1225765.09717007,1
2609660.77617655,1225765.09717007,1
2609660.98345655,1225765.09717007,1
2609661.19073655,1225765.09717007,1
2609661.39801655,1225765.09717007,1
2609661.60529655,1225765.09717007,1
2609661.81257655,1225765.09717007,1
2609662.01985655,1225765.09717007,1
2609662.22713655,1225765.09717007,1
2609659.32521656,1225764.88989007,1
2609659.53249656,1225764.88989007,1
2609659.73977656,1225764.88989007,1
2609659.94705656,1225764.88989007,1
2609660.15433655,1225764.88989007,1
2609660.36161655,1225764.88989007,1
2609660.56889655,1225764.88989007,1
2609660.77617655,1225764.88989007,1
2609660.98345655,1225764.88989007,1
2609661.19073655,1225764.88989007,1
2609661.39801655,1225764.88989007,1
2609661.60529655,1225764.88989007,1
2609661.81257655,1225764.88989007,1
2609662.01985655,1225764.88989007,1
2609659.11793656,1225764.68261007,1
2609659.32521656,1225764.68261007,1
2609659.53249656,1225764.68261007,1
2609659.73977656,1225764.68261007,1
2609659.94705656,1225764.68261007,1
2609660.15433655,1225764.68261007,1
2609660.36161655,1225764.68261007,1
2609660.56889655,1225764.68261007,1
2609660.77617655,1225764.68261007,1
2609660.98345655,1225764.68261007,1
2609661.19073655,1225764.68261007,1
2609661.39801655,1225764.68261007,1
2609661.60529655,1225764.68261007,1
2609661.81257655,1225764.68261007,1
2609662.01985655,1225764.68261007,1
2609658.91065656,1225764.47533008,1
2609659.11793656,1225764.47533008,1
2609659.32521656,1225764.47533008,1
2609659.53249656,1225764.47533008,1
2609659.73977656,1225764.47533008,1
2609659.94705656,1225764.47533008,1
2609660.15433655,1225764.47533008,1
2609660.36161655,1225764.47533008,1
2609660.56889655,1225764.47533008,1
2609660.77617655,1225764.47533008,1
2609660.98345655,1225764.47533008,1
2609661.19073655,1225764.47533008,1
2609661.39801655,1225764.47533008,1
2609661.60529655,1225764.47533008,1
2609661.81257655,1225764.47533008,1
2609658.49609656,1225764.26805008,1
2609658.70337656,1225764.26805008,1
2609658.91065656,1225764.26805008,1
2609659.11793656,1225764.26805008,1
2609659.32521656,1225764.26805008,1
2609659.53249656,1225764.26805008,1
2609659.73977656,1225764.26805008,1
2609659.94705656,1225764.26805008,1
2609660.15433655,1225764.26805008,1
2609660.36161655,1225764.26805008,1
